시도,시군구,거래건수,평균거래금액_만원,평균노후도_년,평균면적_m2,신규입주_세대수,입주단지수,전월세거래건수,대수선이력건수,대수선이력_수집됨,인테리어업체수,총인구수,청년인구비율,고령인구비율,인테리어_수요점수,예상시공비_하한_만원,예상시공비_상한_만원,시장규모_추정_억,소상공인_인테리어업체수
광주,서구,187,45454.3,17.1,100.0,1924.0,3.0,175,0.0,False,0.0,274925,25.1,27.5,20.27,4537,6655,104.6,603
인천,부평구,380,42923.6,18.3,76.0,400.0,1.0,507,457.0,True,0.0,488829,26.0,29.8,19.77,3448,5058,161.6,592
서울,도봉구,55,63845.5,18.8,80.1,299.0,1.0,92,356.0,True,0.0,298571,23.3,35.5,19.57,3635,5331,24.7,326
울산,북구,586,31957.9,17.4,89.5,0.0,0.0,349,0.0,False,0.0,213772,23.3,22.0,19.34,4061,5956,293.5,128
경기,군포시,468,72774.1,17.2,86.9,0.0,0.0,543,230.0,True,0.0,249770,25.3,29.3,19.03,3943,5783,227.6,220
대전,서구,286,35687.0,17.6,81.3,2147.0,5.0,330,0.0,False,0.0,463601,27.8,25.0,18.79,3689,5410,130.1,745
경기,여주시,119,24981.6,18.3,91.8,0.0,0.0,137,336.0,True,0.0,113541,18.4,39.3,18.52,4165,6109,61.1,189
인천,계양구,142,38778.5,18.1,83.9,1285.0,3.0,237,279.0,True,0.0,276563,24.5,31.7,18.39,3807,5584,66.7,372
울산,동구,158,29025.0,18.2,88.1,36.0,1.0,120,0.0,False,0.0,147834,20.8,28.8,18.37,3998,5863,77.9,127
광주,동구,29,35617.2,17.7,94.3,1269.0,2.0,11,0.0,False,0.0,105005,26.3,32.2,18.31,4279,6276,15.3,215
부산,북구,146,26623.3,18.8,79.3,0.0,0.0,68,0.0,False,32.0,260994,21.1,36.3,18.2,3598,5277,64.8,256
서울,금천구,31,64450.0,18.3,79.0,769.0,2.0,58,300.0,True,0.0,222655,31.9,31.3,17.53,3585,5257,13.7,685
부산,서구,43,36427.9,18.0,90.6,0.0,0.0,32,0.0,False,9.0,101320,20.3,40.4,17.41,4111,6029,21.8,105
인천,미추홀구,400,36361.8,17.2,79.4,1550.0,3.0,464,437.0,True,0.0,417725,25.6,29.8,17.22,3603,5284,177.7,531
대구,달성군,390,29530.5,17.6,83.3,0.0,0.0,298,0.0,False,0.0,252210,21.3,26.7,17.02,3780,5544,181.8,221
대구,동구,442,30368.4,16.7,87.3,1021.0,2.0,540,0.0,False,0.0,338260,22.8,33.9,16.92,3961,5810,215.9,431
부산,기장군,239,33112.1,16.6,97.8,0.0,0.0,436,0.0,False,0.0,175273,19.8,28.0,16.28,4438,6509,130.8,201
부산,사상구,99,34347.3,17.4,90.8,0.0,0.0,130,0.0,False,34.0,192718,22.4,37.8,15.68,4120,6043,50.3,259
대전,대덕구,58,26730.2,18.3,80.0,0.0,0.0,46,0.0,False,0.0,164379,22.9,32.8,15.67,3630,5324,26.0,303
경기,가평군,55,19902.7,18.1,87.1,0.0,0.0,59,282.0,True,0.0,62044,17.0,45.2,15.64,3952,5796,26.8,114
서울,강북구,301,88527.4,16.2,79.1,686.0,3.0,471,326.0,True,0.0,278294,24.4,35.6,14.25,3589,5264,133.2,339
경기,양평군,87,29887.0,16.6,95.1,0.0,0.0,155,359.0,True,0.0,126746,15.1,44.3,13.23,4315,6329,46.3,254
경기,동두천시,97,23564.4,17.1,91.2,0.0,0.0,201,83.0,True,0.0,86243,19.2,37.3,13.13,4138,6069,49.5,132
부산,영도구,34,26241.2,17.6,78.6,0.0,0.0,24,0.0,False,4.0,100748,17.2,45.1,12.21,3566,5231,15.0,117
경기,연천군,39,13197.4,18.6,67.6,0.0,0.0,72,98.0,True,12.0,42868,19.8,44.5,12.17,3067,4499,14.8,81
대구,서구,153,31286.1,16.2,92.2,0.0,0.0,112,0.0,False,0.0,163748,20.7,40.0,11.25,4184,6136,78.9,273
인천,강화군,8,21712.5,17.5,72.7,0.0,0.0,11,314.0,True,14.0,69689,12.8,52.6,10.05,3299,4838,3.3,131
부산,중구,6,19650.0,17.8,64.1,0.0,0.0,9,0.0,False,0.0,36375,23.8,43.9,8.89,2909,4266,2.2,113
인천,동구,72,27534.7,15.7,71.3,1321.0,1.0,57,174.0,True,0.0,57836,20.5,37.2,4.85,3235,4745,28.7,139
